Brand Name,Product Name,Price,Return/Exchange,Expected Delivery,Availability,Page URL
Henrix,"Henrix 38C 38 Inch Cutaway Acoustic Guitar With Dual Action Truss Rod, Gigbag, Picks, String Set, String Winder, Strap, Polishing Cloth & Ebook - Black","2,999",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Henrix-Acoustic-Guitar-Die-cast-Dual-action/dp/B07VNDW6QF/ref=sr_1_10?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-10
Intern,"Intern INT-38C-BK-G Cutaway Right Handed Acoustic Guitar Kit, with Bag, Nickel Strings, Pick And Strap (Black) -6 Strings","1,999",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Intern-INT-38C-BK-G-Guitar-Kit-Black/dp/B07K9497RC/ref=sr_1_11?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-11
Intern,Intern INT-38C Acoustic Guitar Kit (Blue),"2,019",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_12?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-12
Intern,"Intern 38C Acoustic Steel-string Guitar Premium White Cutaway Design with carry bag, strings, guitar strap and plectrums (INT-38C-WH)","2,099",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Intern-Acoustic-Steel-string-plectrums-INT-38C-WH/dp/B09LR94Z2X/ref=sr_1_13?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-13
JUAREZ,"Juarez Lindenwood Acoustic Guitar Kit, 38 Inches Cutaway, 38C With Bag, Strings, Pick And Strap, 3TS Sunburst","1,949", - ,"Sunday, 8 October",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_14?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-14
Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","4,999",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01GDZ46AA/ref=sr_1_15?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-15
JUAREZ,"JUAREZ JRZ-ST01, 6 Strings Linden Wood Electric Guitar, Right Handed with Bag/Case, 2 x Picks (3TS Sunburst)","5,749", - ,"Sunday, 8 October",In stock,https://www.amazon.in/JRZ-ST01-6-String-Electric-Sunburst-Without/dp/B01FYZSOEE/ref=sr_1_16?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-16
Kadence,Kadence BB01 Dreadnought Acoustic Guitar + (free online learning Course) - Natural,"3,999",7 days Returnable,"Monday, 9 October",In stock,https://www.amazon.in/Kadence-Dreadnought-Acoustic-Guitar-learning/dp/B0CH8L5NF3/ref=sr_1_17?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-17
REVEL,Revel 38 Inches Lindenwood Cutaway Design Acoustic Guitar With Carry Bag And Plectrums. (sunburst),"2,039",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Lindenwood-Cutaway-Acoustic-Plectrums-sunburst/dp/B085HV4YW7/ref=sr_1_18?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-18
HOVNER,"Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail","4,580",7 days Replacement,"Wednesday, 11 October",In stock,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sr_1_19?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-19
Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","4,999",7 days Replacement,"Monday, 9 October",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B078GTJP5Y/ref=sr_1_20?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-20
VAULT,"Vault DA20 Dreadnought Acoustic Guitar With Gig-Bag, Picks, Strings Set, String Winder, Strap, Polishing Cloth And Allen Key","4,899",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTY4MjEwMzA1Mzc3NjQyOjE2OTY1NDQwNjg6c3BfbXRmOjIwMDkyNjI0MDIxNTk4OjowOjo&url=%2FDreadnought-Acoustic-Gig-Bag-Strings-Polishing%2Fdp%2FB0BJJRJVHY%2Fref%3Dsr_1_21_sspa%3Fcrid%3D1TP2N4QLW8ZN8%26keywords%3DGuitar%26qid%3D1696544068%26sprefix%3D%252Caps%252C644%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
